tool_name,category,features,pricing
"Google Analytics","Аналитика","Отслеживание трафика, анализ поведения пользователей, создание отчетов","Бесплатно с платными версиями (GA 360)"
"SEMrush","SEO","Анализ ключевых слов, аудит сайта, отслеживание позиций, анализ конкурентов","От $119.95 в месяц"
"Hootsuite","SMM","Управление несколькими социальными сетями, планирование постов, аналитика","От $19 в месяц"
"Ahrefs","SEO","Анализ обратных ссылок, исследование ключевых слов, аудит сайта","От $99 в месяц"
"Mailchimp","Email-маркетинг","Создание и отправка рассылок, сегментация списка, аналитика","Бесплатно до 2000 подписчиков, платные планы от $9.99 в месяц"
"Canva","Дизайн","Создание графики, шаблоны для соцсетей, редактирование изображений","Бесплатно с платными версиями от $12.99 в месяц"
"Buffer","SMM","Планирование и публикация постов, аналитика, управление несколькими аккаунтами","От $15 в месяц"
"Google Ads","PPC","Создание рекламных кампаний, управление ставками, аналитика","Оплата за клик, минимальный бюджет зависит от ниши"
"Yoast SEO","SEO","Оптимизация контента, анализ ключевых слов, проверка читаемости","От $99 в год"
"Sprout Social","SMM","Анализ социальных сетей, управление контентом, мониторинг упоминаний","От $99 в месяц"
"BuzzSumo","Контент-маркетинг","Анализ популярного контента, исследование влияния, мониторинг брендов","От $99 в месяц"
"Google Search Console","SEO","Мониторинг индексации, анализ поисковых запросов, решение проблем","Бесплатно"
"Zapier","Автоматизация","Автоматизация рабочих процессов между различными приложениями","Бесплатно с платными версиями от $19.99 в месяц"
"Crazy Egg","Аналитика","Тепловые карты, запись сессий пользователей, анализ поведения","От $24 в месяц"
"Typeform","Опросы","Создание интерактивных опросов и форм, сбор данных","Бесплатно с платными версиями от $35 в месяц"
"Ahrefs","SEO","Анализ ссылок, исследование ключевых слов, аудит контента","От $99 в месяц"
"Mailjet","Email-маркетинг","Создание рассылок, автоматизация, аналитика","Бесплатно до 6,000 писем в месяц, платные планы от $9.65 в месяц"
"Hotjar","Аналитика","Запись сессий пользователей, тепловые карты, опросы","Бесплатно с платными версиями от $39 в месяц"
"Google Tag Manager","Аналитика","Управление тегами, упрощение установки скриптов","Бесплатно"
"Keyword Planner","SEO","Исследование ключевых слов, оценка объема поиска, анализ конкуренции","Бесплатно в рамках Google Ads"
"CoSchedule","Контент-маркетинг","Планирование контента, управление проектами, аналитика","От $29 в месяц"
"Facebook Ads Manager","PPC","Создание и управление рекламными кампаниями в Facebook и Instagram","Оплата за клик, минимальный бюджет зависит от кампании"
"Mailerlite","Email-маркетинг","Создание и отправка рассылок, автоматизация, аналитика","Бесплатно до 1,000 подписчиков, платные планы от $10 в месяц"
"Sniply","Контент-маркетинг","Добавление CTA к стороннему контенту, отслеживание кликов","От $29 в месяц"
"SurveyMonkey","Опросы","Создание и проведение опросов, анализ результатов","Бесплатно с платными версиями от $32 в месяц"
"Leadpages","Лендинги","Создание целевых страниц, A/B тестирование, интеграции","От $27 в месяц"
"Vidyard","Видеомаркетинг","Создание и хостинг видео, аналитика, интеграции","Бесплатно с платными версиями от $15 в месяц"
"Optimizely","A/B тестирование","Платформа для A/B тестирования и оптимизации пользовательского опыта","От $50 в месяц"
"ClickFunnels","Маркетинг воронок","Создание воронок продаж, автоматизация маркетинга","От $97 в месяц"
"Unbounce","Лендинги","Создание и оптимизация целевых страниц, A/B тестирование","От $80 в месяц"
"SE Ranking","SEO","Анализ позиций в поисковых системах, аудит сайта, исследование ключевых слов","От $39 в месяц"
"AnswerThePublic","Контент-маркетинг","Генерация идей контента на основе поисковых запросов","Бесплатно с платными версиями от $99 в месяц"
"Klaviyo","Email-маркетинг","Создание автоматизированных кампаний, сегментация, аналитика","Бесплатно до 250 подписчиков, платные планы от $20 в месяц"
"Figma","Дизайн","Создание макетов, прототипирование, совместная работа","Бесплатно с платными версиями от $12 в месяц"
"AdEspresso","PPC","Управление рекламой в Facebook, Instagram и Google, A/B тестирование","От $49 в месяц"
"Sprinklr","SMM","Управление социальными медиа, аналитика, взаимодействие с клиентами","Цена по запросу"
"Clicky","Аналитика","Мониторинг трафика в реальном времени, аналитика пользователей","От $9.99 в месяц"
"Crazy Egg","Аналитика","Тепловые карты, отслеживание кликов, анализ поведения пользователей","От $24 в месяц"
"Buffer Publish","SMM","Планирование и публикация контента в социальных сетях, анализ вовлеченности","От $15 в месяц"
